"","enc","exp","para01d","pseu01d","pseu03d","pseu04d","para02d","para03d","para04d","pseu08d","para05d","pseu09d","cons03d","cons04d","cono","inte","bene01d","cona03d","risk03i","acce03d","trus03d","risk04i","acce04d","bene04d","trus04d","cona04d","sexo","edad","naci","regi","ciud","alim","edu1","edu2","ingr","nsep","alca","reli","frel","etni","opol","tru1","tru2","tru3","tru4","tru5","tru6","tru7","pref1r","pref2r","pref3r","pref4r","pref5r","pref6r","fuen1r","fuen2r","fuen3r","fuen4r","fuen5r","fuen6r","fuen7r","fuen8r","fuen9r","pseu02r","pseu05r","pseu06r","pseu07r","cons01r","cons02r","pref1rn","pref2rn","pref3rn","pref4rn","pref5rn","pref6rn","pref1rt","pref2rt","pref3rt","pref4rt","pref5rt","pref6rt","pref1ro","pref2ro","pref3ro","pref4ro","pref5ro","pref6ro","risk01r","cona01r","acce01r","risk02r","cona02r","trus01r","acce02r","trus02r","bene02r","bene03r"
"11",1,1,"2","3","3","3","3","3","3","2","3","2","3","3",2,4,"3","3","3","3","3","3","3","3","3","3",2,32,1,9,2,1,7,7,9,3,4,4,8,NA,7,"2","2","2","3","3","3","3",1,2,1,3,1,2,0,0,1,1,1,0,0,1,0,"3","2","2","3","1","3",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"2","2","3","1","3","2","3","4","3","3"
"12",1,1,"4","3","3","2","2","3","1","1","3","2","2","2",3,3,"4","3","3","4","4","4","2","4","4","4",1,33,1,9,2,1,7,7,9,4,4,14,1,NA,2,"2","2","1","2","4","3","3",1,2,4,2,1,3,0,1,1,0,1,0,0,0,0,"2","2","1","1","1","1",0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,"4","3","4","4","4","2","4","4","4","3"
"13",1,1,"3","1","1","1","1","3","2","2","2","3","4","4",3,3,"4","2","1","3","2","2","1","2","2","2",1,19,1,12,1,1,5,5,2,2,2,3,5,NA,NA,"3","3","5","4","4","5","3",1,2,2,4,1,2,0,0,0,0,1,1,0,1,0,"4","4","4","5","2","1",0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,"2","2","1","1","1","2","1","1","1","3"
"14",1,2,"1","1","1","3","1","1","3","1","1","1","3","3",2,4,"3","3","3","3","5","2","3","3","5","3",2,35,1,13,2,1,5,5,6,3,4,3,4,NA,2,"1","2","2","2","4","4","5",1,1,1,2,1,3,1,1,0,0,0,1,0,1,0,"2","3","2","1","1","1",0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,"2","3","1","3","3","2","2","5","3","3"
"15",1,2,"4","2","4","2","3","3","3","3","3","2","4","3",3,4,"2","3","2","2","2","2","2","2","2","2",1,38,1,12,1,1,5,5,7,3,3,1,3,1,6,"3","2","3","3","4","3","3",2,3,3,1,2,2,0,0,1,1,0,0,1,0,0,"3","2","2","2","3","4",1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"2","2","2","2","3","2","3","4","3","2"
"16",1,2,"4","1","5","1","3","4","4","4","4","2","4","4",3,4,"1","3","1","1","3","3","1","3","2","2",2,40,1,13,2,1,7,7,7,2,3,11,3,NA,2,"3","3","3","1","2","2","1",4,1,4,4,4,3,1,1,1,1,1,0,1,1,1,"1","3","5","1","3","2",0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,"1","1","1","1","3","1","1","2","2","3"
"17",1,2,"1","1","5","5","3","3","1","2","2","3","1","3",3,2,"3","3","3","3","5","5","3","3","3","3",1,36,1,9,2,1,7,7,7,4,4,2,3,NA,4,"4","3","3","3","3","3","3",1,4,3,4,2,4,0,0,0,0,0,0,0,0,1,"3","5","5","1","1","2",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,"4","3","3","3","3","1","3","3","2","3"
"18",1,2,"1","2","5","1","1","1","1","3","1","5","3","3",NA,3,"5","3","2","5","2","2","3","5","4","3",2,49,1,13,2,4,5,5,5,4,4,11,1,NA,2,"3","2","4","3","5","4","4",4,3,4,4,4,4,0,0,1,0,0,0,0,1,0,"5","1","1","1","1","1",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,"2","1","3","1","4","1","3","3","5","5"
"19",1,2,"1","1","1","3","1","1","1","1","1","1","3","3",2,3,"3","3","3","4","4","3","2","2","1","2",1,34,1,9,2,1,6,6,9,5,4,14,1,NA,2,"1","2","3","2","4","3","2",4,4,1,3,1,4,0,0,1,0,0,1,0,1,0,"3","3","3","2","3","4",0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,"2","3","3","2","3","3","3","4","4","4"
"20",1,2,"1","1","3","1","1","1","3","1","5","3","5","1",3,2,"5","3","4","5","5","5","3","5","5","5",2,35,1,13,2,1,6,6,7,3,4,14,1,NA,2,"1","1","3","3","1","3","5",4,2,1,3,2,2,1,1,0,0,1,0,0,0,0,"3","1","1","1","1","1",0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,"5","3","3","1","5","3","5","5","5","5"
"21",1,2,"4","2","5","1","3","5","1","1","5","1","3","3",3,3,"5","3","2","1","1","1","1","1","5","2",2,34,1,2,2,1,6,NA,7,3,4,14,NA,NA,7,"3","1","1","1","1","1","1",4,4,1,1,4,4,0,0,0,0,0,0,0,1,0,"2","1","1","1","3","1",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,"2","2","1","1","4","5","1","5","1","1"
"22",1,2,"3","3","4","3","5","5","5","5","5","1","1","5",2,3,"2","3","3","3","3","3","3","3","3","3",1,29,1,9,2,1,5,5,6,3,4,5,3,NA,7,"3","1","1","2","5","3","3",1,2,1,2,2,2,0,0,0,0,1,0,0,0,0,"3","1","1","5","5","3",0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,"3","3","3","3","2","5","3","3","3","3"
"23",1,2,"1","1","1","4","1","4","4","1","1","5","1","1",3,5,"3","3","3","3","4","4","3","3","5","3",1,49,1,9,2,1,7,7,8,4,3,1,3,NA,2,"2","2","3","3","4","4","5",1,3,2,2,4,3,0,0,1,0,0,0,0,0,0,"1","1","1","1","1","1",0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,"2","2","3","3","3","2","3","5","3","3"
"24",1,3,"3","4","2","2","4","3","4","2","3","2","4","4",2,3,"4","4","3","2","2","4","3","3","2","3",1,25,1,12,1,1,4,8,9,5,4,12,3,NA,2,"2","2","2","3","4","4","4",2,3,2,1,4,4,0,0,0,1,0,0,1,1,0,"3","2","1","1","3","2",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"3","3","3","4","4","2","3","4","4","4"
"25",1,3,"1","5","5","3","3","5","3","3","3","3","5","3",3,3,"5","3","3","3","3","3","3","1","5","3",2,28,1,12,1,1,4,NA,4,6,4,14,1,NA,7,"1","1","1","1","1","3","5",2,3,4,2,2,2,1,0,0,0,0,1,0,0,0,"1","1","1","1","5","1",1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,"3","1","3","1","1","3","1","5","3","3"
